iter	RMSE
0	0.3479369036
1	0.3436734533
2	0.3387599743
3	0.3340174764
4	0.3303227062
5	0.3262972099
6	0.3224268374
7	0.3183841722
8	0.3148424561
9	0.3115522161
10	0.3075075173
11	0.3033507895
12	0.2993365302
13	0.2954101221
14	0.2915295482
15	0.2880065331
16	0.2844311881
17	0.2811696023
18	0.2780321116
19	0.2747343046
20	0.2709938874
21	0.2681257093
22	0.2647547534
23	0.2622681553
24	0.2594851291
25	0.2565170471
26	0.2533277193
27	0.2500998072
28	0.247826413
29	0.2449716376
30	0.2428314589
31	0.2401830201
32	0.2380646714
33	0.235864281
34	0.2337761018
35	0.231673826
36	0.2293873378
37	0.2273862505
38	0.2251035564
39	0.2230916675
40	0.2212139651
41	0.2193526859
42	0.2172039554
43	0.2153949036
44	0.213745843
45	0.2118528914
46	0.210239303
47	0.2083329645
48	0.2064655211
49	0.2047171871
50	0.2030891758
51	0.2013114374
52	0.199574374
53	0.1981452238
54	0.1963422458
55	0.1945375217
56	0.1930012967
57	0.191604339
58	0.1902784785
59	0.1890080797
60	0.1875317934
61	0.1863903547
62	0.1852173814
63	0.1841406945
64	0.1827882682
65	0.1817958695
66	0.180802438
67	0.1800050145
68	0.1787675029
69	0.177576372
70	0.1767273118
71	0.1758497764
72	0.1749164289
73	0.1739166573
74	0.1728533071
75	0.1718341051
76	0.1708820055
77	0.1698134746
78	0.1689396047
79	0.1680397403
80	0.1672026852
81	0.1664742149
82	0.1656127933
83	0.1649186014
84	0.1640786954
85	0.1633093009
86	0.1624873573
87	0.1616391844
88	0.1607379251
89	0.1599281844
90	0.1591393588
91	0.1583009339
92	0.1576179161
93	0.1569191139
94	0.1561273172
95	0.1554929966
96	0.1550633355
97	0.1544787818
98	0.1537591644
99	0.1530946043
100	0.1525995512
101	0.1521114153
102	0.151436047
103	0.1507863379
104	0.1502866363
105	0.1496478289
106	0.1491375976
107	0.1484512313
108	0.147910684
109	0.1473749794
110	0.1468227505
111	0.1463450114
112	0.1457540178
113	0.1453643433
114	0.1448304676
115	0.1442560903
116	0.1438304869
117	0.1434217815
118	0.1428937702
119	0.1425263549
120	0.1420494959
121	0.1415950098
122	0.1411717203
123	0.1408110002
124	0.1403378043
125	0.1399459797
126	0.1395537548
127	0.139184579
128	0.1388295835
129	0.1383520001
130	0.1379876836
131	0.1375585965
132	0.1371694286
133	0.1368250843
134	0.1364734339
135	0.1361746797
136	0.135854626
137	0.1354970009
138	0.1352024903
139	0.1348086246
140	0.1344320531
141	0.1340914258
142	0.1338573778
143	0.1335530448
144	0.1332577303
145	0.132975124
146	0.1326599042
147	0.1324016701
148	0.1321780947
149	0.1319402369
150	0.131688291
151	0.1315908763
152	0.1315108205
153	0.1313041013
154	0.1311415715
155	0.1309687284
156	0.1307533653
157	0.1305165142
158	0.1304196701
159	0.1301916427
160	0.129839073
161	0.1296624322
162	0.1293971952
163	0.1291849477
164	0.1288790509
165	0.1286487036
166	0.1282893502
167	0.1280392288
168	0.1279575359
169	0.1277045981
170	0.12760958
171	0.1272985485
172	0.1270479512
173	0.1268396177
174	0.1266265436
175	0.1264318135
176	0.1262139494
177	0.1259171092
178	0.12584814
179	0.1256720737
180	0.1254286969
181	0.1253887662
182	0.125220036
183	0.1249717875
184	0.1248847932
185	0.1245696984
186	0.1243280863
187	0.124150605
188	0.1238965763
189	0.1238095141
190	0.123609359
191	0.1234309778
192	0.1232562641
193	0.1231525169
194	0.1230412089
195	0.1228547659
196	0.1226776467
197	0.1226217981
198	0.1225200101
199	0.1223228077
200	0.1222791713
201	0.1220665552
202	0.1219473945
203	0.1217877132
204	0.1215847822
205	0.1214137841
206	0.1212069227
207	0.1211459934
208	0.1210674655
209	0.1210288895
210	0.1208119441
211	0.1206777552
212	0.1205163227
213	0.1203541625
214	0.120287426
215	0.1201728319
216	0.1199816356
217	0.1199154995
218	0.1198078048
219	0.1196237629
220	0.1194141264
221	0.1191652401
222	0.1190074256
223	0.118934434
224	0.1188112944
225	0.1187869364
226	0.1186489932
227	0.1185389717
228	0.1183898048
229	0.118347376
230	0.1182989361
231	0.1181383699
232	0.1180802397
233	0.117981422
234	0.1179241983
235	0.1177726865
236	0.1177259322
237	0.1175422558
238	0.1174279401
239	0.1173900477
240	0.1173265819
241	0.1172766486
242	0.1171778751
243	0.1169950767
244	0.1168609858
245	0.1168001128
246	0.1166762007
247	0.1165982883
248	0.1165159193
249	0.1163376248
250	0.1162977872
251	0.1162488305
252	0.1161556043
253	0.1160456433
254	0.1158577135
255	0.115722824
256	0.115513076
257	0.1153214945
258	0.1152840056
259	0.11514804
260	0.1150136232
261	0.1149618772
262	0.1148989228
263	0.1148523538
264	0.1147691503
265	0.114709309
266	0.1145755141
267	0.1144082832
268	0.1141428405
269	0.113941832
270	0.1138666561
271	0.1137582539
272	0.1136252151
273	0.1134255789
274	0.1132692423
275	0.1132124404
276	0.1130708204
277	0.1130150656
278	0.1129475947
279	0.1128894513
280	0.1127639752
281	0.1125912995
282	0.1124236302
283	0.112268615
284	0.112088621
285	0.1119673132
286	0.1119011954
287	0.1117835622
288	0.1117415694
289	0.1117117082
290	0.1116515127
291	0.1116082437
292	0.1115661731
293	0.1115049626
294	0.1114719071
295	0.1113184814
296	0.1112796144
297	0.1112147335
298	0.1111504494
299	0.1111081213
300	0.1110740393
301	0.1108975529
302	0.1108418879
303	0.1106726773
304	0.1106176952
305	0.1105651805
306	0.1105075289
307	0.1103460114
308	0.1102613776
309	0.110199715
310	0.1101465205
311	0.1100045206
312	0.1099583192
313	0.1098965136
314	0.1098430446
315	0.1097872241
316	0.1096629294
317	0.109610339
318	0.1095103785
319	0.1094520717
320	0.1093943798
321	0.1092135495
322	0.1090760044
323	0.1090386135
324	0.1089924479
325	0.1089473784
326	0.1087908049
327	0.1087515331
328	0.1086711322
329	0.1086442553
330	0.1085911473
331	0.1085544178
332	0.1084197121
333	0.1083920626
334	0.1083496204
335	0.1083258781
336	0.1082894789
337	0.108172481
338	0.1081456048
339	0.1079754924
340	0.1079394295
341	0.1079125602
342	0.1078839018
343	0.1077440187
344	0.1077175906
345	0.1075440228
346	0.107491167
347	0.1074446866
348	0.1073052368
349	0.1072686647
350	0.1072442508
351	0.1071986588
352	0.1071635747
353	0.1071337286
354	0.1070985677
355	0.1070764296
356	0.1069668699
357	0.1069309004
358	0.1068923625
359	0.1066977144
360	0.1065912298
361	0.1065570167
362	0.1065451872
363	0.1064352803
364	0.106393206
365	0.1061614566
366	0.1061256896
367	0.1060943406
368	0.1060608576
369	0.1060278783
370	0.1059965989
371	0.1058632237
372	0.1058382893
373	0.1057961358
374	0.105670295
375	0.1056467612
376	0.1054179922
377	0.1052105489
378	0.1050727132
379	0.1050329362
380	0.1049945494
381	0.1049239547
382	0.1048951943
383	0.104743298
384	0.1046141794
385	0.1045024472
386	0.1044649687
387	0.1044311818
388	0.1042283974
389	0.1042004165
390	0.1041619556
391	0.10397597
392	0.1039382764
393	0.1037969344
394	0.1037636291
395	0.1036070893
396	0.1035713485
397	0.1035342026
398	0.1034917935
399	0.1034422127
400	0.1034106762
401	0.1033796298
402	0.1033633474
403	0.1033323682
404	0.1033012304
405	0.103270698
406	0.1032465363
407	0.1031248532
408	0.1030961537
409	0.1029136349
410	0.1028654047
411	0.1028491462
412	0.1027042182
413	0.1026762693
414	0.1026526455
415	0.1025033225
416	0.1024698641
417	0.1023970834
418	0.1023714419
419	0.1023549283
420	0.1022313931
421	0.1022071152
422	0.1020366261
423	0.1019476761
424	0.1019279189
425	0.1019074566
426	0.1018802535
427	0.101847833
428	0.1017070015
429	0.1016913924
430	0.1016599454
431	0.1015368596
432	0.1013970875
433	0.1013805289
434	0.1013614518
435	0.1012438825
436	0.1011152819
437	0.1010076463
438	0.1009958222
439	0.1008404994
440	0.1008217913
441	0.1007955754
442	0.1007729791
443	0.1007519972
444	0.1006837171
445	0.1005090104
446	0.1004881616
447	0.1004605906
448	0.1003522728
449	0.1002838335
450	0.1001659457
451	0.1001382528
452	0.100111422
453	0.09997508547
454	0.09996108355
455	0.09983323229
456	0.09981535894
457	0.09977601643
458	0.0997479085
459	0.09972938343
460	0.0997109501
461	0.09967639151
462	0.09958830926
463	0.09956204924
464	0.09945485875
465	0.09931480941
466	0.09925051203
467	0.09923215706
468	0.0991477184
469	0.09906246949
470	0.09905246144
471	0.09903188303
472	0.09900479833
