iter	Passed	Remaining
0	14	14215
1	17	8759
2	29	9763
3	31	7942
4	33	6706
5	37	6244
6	40	5705
7	49	6143
8	52	5738
9	54	5376
10	56	5089
11	68	5606
12	72	5518
13	81	5719
14	89	5866
15	93	5753
16	96	5584
17	103	5643
18	113	5843
19	118	5818
20	129	6021
21	132	5899
22	134	5723
23	140	5720
24	146	5718
25	153	5759
26	158	5715
27	162	5624
28	164	5500
29	167	5414
30	174	5460
31	178	5392
32	179	5271
33	187	5315
34	188	5208
35	190	5113
36	195	5099
37	199	5045
38	201	4961
39	202	4866
40	205	4797
41	206	4711
42	209	4663
43	211	4593
44	214	4542
45	217	4516
46	223	4522
47	228	4523
48	230	4472
49	233	4431
50	236	4403
51	240	4392
52	243	4349
53	246	4311
54	250	4298
55	252	4256
56	254	4209
57	260	4224
58	262	4181
59	264	4138
60	268	4136
61	270	4086
62	275	4092
63	278	4075
64	283	4082
65	285	4040
66	292	4073
67	295	4047
68	298	4032
69	302	4014
70	311	4078
71	313	4036
72	314	3998
73	317	3976
74	319	3937
75	323	3928
76	326	3911
77	327	3875
78	329	3838
79	331	3813
80	333	3785
81	338	3791
82	342	3785
83	346	3776
84	348	3754
85	353	3752
86	357	3752
87	359	3724
88	361	3697
89	363	3678
90	365	3651
91	367	3623
92	370	3617
93	378	3645
94	380	3624
95	382	3598
96	387	3603
97	389	3583
98	391	3563
99	393	3542
100	395	3523
101	397	3497
102	399	3483
103	403	3480
104	406	3468
105	411	3467
106	416	3473
107	423	3500
108	425	3481
109	427	3459
110	428	3435
111	431	3420
112	436	3427
113	440	3423
114	442	3403
115	445	3393
116	446	3370
117	448	3352
118	453	3360
119	456	3344
120	457	3323
121	460	3313
122	462	3300
123	465	3289
124	468	3280
125	474	3288
126	476	3272
127	479	3265
128	483	3262
129	489	3279
130	494	3277
131	495	3259
132	497	3242
133	505	3267
134	507	3252
135	509	3236
136	513	3231
137	523	3271
138	526	3259
139	533	3275
140	539	3287
141	544	3287
