iter	Passed	Remaining
0	0	614
1	1	615
2	1	573
3	2	533
4	2	507
5	3	487
6	3	469
7	4	465
8	4	455
9	5	456
10	5	474
11	6	471
12	6	470
13	7	466
14	7	461
15	8	455
16	8	456
17	9	459
18	9	454
19	10	449
20	10	445
21	11	441
22	11	438
23	12	438
24	12	438
25	12	436
26	13	433
27	13	429
28	14	425
29	14	422
30	14	418
31	15	415
32	16	421
33	16	420
34	16	417
35	17	414
36	17	412
37	18	410
38	18	408
39	18	405
40	19	403
41	19	402
42	20	415
43	21	421
44	22	420
45	22	418
46	22	416
47	23	417
48	24	417
49	24	416
50	25	416
51	25	415
52	25	414
53	26	413
54	26	411
55	27	412
56	27	412
57	28	412
58	29	413
59	29	411
60	29	410
61	30	408
62	30	407
63	31	406
64	31	405
65	31	403
66	32	402
67	32	400
68	33	399
69	33	398
70	34	398
71	35	403
72	35	403
73	36	403
74	36	402
75	37	401
76	37	400
77	37	399
78	38	401
79	39	404
80	40	405
81	40	404
82	41	403
83	41	402
84	42	403
85	42	405
86	43	404
87	43	403
88	44	402
89	44	401
90	44	400
91	45	402
92	46	401
93	46	400
94	47	398
95	47	397
96	48	401
97	49	401
98	51	414
99	52	416
100	52	416
101	53	418
102	54	419
103	54	419
104	55	418
105	55	417
106	56	415
107	56	414
108	57	413
109	57	412
110	57	411
111	58	409
112	58	408
113	59	407
114	59	405
115	59	404
116	60	404
117	61	407
118	62	407
119	62	409
120	63	410
121	64	409
122	64	409
123	65	407
124	65	406
125	65	405
126	66	404
127	67	404
128	67	403
129	68	402
130	68	402
131	68	401
132	69	400
133	69	399
134	70	398
135	70	397
136	71	396
137	71	397
138	72	397
139	73	398
140	73	397
141	74	396
142	74	395
143	75	395
144	76	398
145	92	477
146	92	475
147	93	474
148	93	472
149	94	470
150	94	469
151	95	468
152	95	467
153	96	466
154	96	464
155	97	463
156	97	461
157	97	460
158	98	458
159	98	457
160	99	455
161	99	454
162	100	453
163	100	451
164	100	449
165	101	448
166	101	446
167	102	445
168	102	443
169	103	442
170	103	441
171	103	439
172	104	438
173	104	436
174	105	435
175	106	436
176	106	435
177	107	435
178	107	434
179	108	433
180	109	433
181	109	433
182	110	432
183	110	430
184	111	429
185	111	428
186	112	428
187	112	427
188	113	427
189	114	427
190	115	427
191	116	429
192	117	431
193	118	430
194	118	429
195	119	428
196	122	435
197	123	436
198	125	442
199	126	442
200	127	442
201	128	442
202	129	444
203	130	444
204	131	444
205	131	442
206	132	442
207	132	442
208	133	442
209	134	441
210	135	442
211	136	441
212	136	441
213	137	440
214	138	439
215	138	438
216	138	436
217	139	436
218	139	435
219	140	434
220	141	433
221	141	432
222	142	431
223	142	430
224	142	428
225	143	427
226	143	426
227	144	425
228	145	424
229	145	423
230	146	422
231	146	422
232	147	421
233	147	421
234	148	419
235	148	418
236	149	417
237	149	416
238	150	415
239	150	415
240	151	414
241	152	413
242	152	413
243	153	412
244	153	410
245	154	410
246	154	408
247	155	407
248	155	406
249	156	405
250	156	404
251	156	403
252	157	402
253	157	400
254	158	400
255	158	399
256	159	399
257	160	398
258	160	398
259	162	399
260	162	399
261	163	398
262	163	397
263	164	396
264	164	395
265	165	394
266	166	394
267	166	393
268	167	392
269	167	391
270	168	390
271	168	389
272	169	388
273	169	387
274	169	386
275	170	385
276	170	384
277	171	383
278	171	382
279	172	380
280	172	379
281	172	379
282	173	378
283	174	377
284	174	376
285	175	376
286	175	375
287	176	374
288	176	373
289	177	372
290	177	371
291	178	371
292	178	370
293	179	370
294	181	371
295	181	370
296	182	369
297	182	368
298	183	367
299	183	367
300	184	367
301	184	366
302	185	365
303	185	364
304	186	363
305	186	362
306	187	362
307	188	362
308	190	364
309	190	363
310	191	362
311	192	362
312	192	361
313	193	360
314	193	359
315	193	358
316	194	357
317	194	356
318	195	355
319	195	354
320	196	353
321	196	353
322	197	352
323	197	351
324	197	350
325	198	349
326	198	348
327	199	347
328	199	346
329	200	345
330	200	344
331	200	343
332	201	342
333	201	342
334	204	345
335	205	345
336	206	344
337	207	344
338	207	343
339	208	343
340	208	342
341	209	341
342	209	340
343	210	339
344	210	338
345	211	337
346	211	336
347	211	335
348	212	335
349	212	334
350	213	333
351	213	332
352	214	332
353	214	331
354	215	330
355	216	330
356	216	329
357	217	328
358	218	328
359	218	328
360	219	327
361	219	326
362	220	325
363	220	324
364	221	324
365	221	323
366	222	322
367	222	321
368	222	320
369	223	319
370	223	319
371	224	318
372	224	317
373	225	316
374	225	315
375	225	314
376	226	314
377	226	313
378	227	312
379	227	311
380	228	310
381	228	309
382	229	309
383	229	308
384	230	308
385	230	307
386	231	306
387	231	305
388	232	304
389	232	304
390	233	303
391	233	302
392	233	301
393	234	300
394	234	300
395	235	299
396	235	298
397	236	297
398	236	296
399	236	296
400	237	295
401	237	294
402	238	293
403	238	292
404	239	292
405	239	291
406	240	290
407	240	290
408	240	289
409	241	288
410	241	287
411	242	287
412	243	287
413	244	286
414	244	285
415	245	285
416	245	284
417	246	284
418	247	283
419	248	283
420	248	282
421	249	282
422	249	281
423	250	281
424	250	280
425	251	279
426	251	278
427	252	277
428	252	277
429	252	276
430	253	275
431	254	275
432	254	274
433	255	273
434	255	273
435	256	272
436	256	272
437	257	271
438	258	271
439	258	270
440	259	270
441	259	269
442	260	268
443	260	268
444	261	267
445	261	266
446	262	265
447	262	265
448	263	264
449	263	263
450	264	262
451	264	262
452	265	261
453	265	260
454	266	260
455	266	259
456	266	258
457	267	258
458	267	257
459	268	256
460	268	255
461	269	255
462	269	254
463	271	255
464	272	255
465	273	254
466	274	254
467	274	253
468	275	253
469	276	252
470	276	251
471	277	251
472	277	250
473	278	249
474	278	249
475	279	248
476	279	248
477	280	247
478	281	247
479	281	246
480	282	245
481	282	245
482	283	244
483	283	243
484	284	243
485	284	242
486	285	241
487	285	241
488	286	240
489	286	239
490	287	239
491	287	238
492	288	238
493	288	237
494	289	236
495	289	236
496	290	235
497	291	235
498	292	234
499	292	234
500	293	233
501	293	232
502	294	232
503	295	231
504	295	231
505	296	230
506	296	229
507	296	229
508	297	228
509	298	227
510	298	227
511	298	226
512	299	225
513	299	225
514	300	224
515	300	223
516	301	223
517	301	222
518	302	221
519	302	221
520	303	220
521	303	220
522	304	219
523	304	218
524	305	218
525	305	217
526	306	216
527	306	216
528	307	215
529	307	214
530	307	213
531	308	213
532	308	212
533	309	211
534	309	211
535	310	210
536	310	209
537	311	209
538	311	208
539	312	208
540	313	207
541	313	207
542	314	206
543	314	205
544	315	205
545	315	204
546	316	203
547	316	203
548	316	202
549	317	201
550	317	201
551	318	200
552	318	199
553	319	199
554	319	198
555	319	197
556	320	197
557	320	196
558	321	195
559	321	195
560	322	194
561	322	193
562	322	193
563	323	192
564	323	192
565	324	191
566	324	190
567	325	190
568	326	190
569	327	189
570	328	189
571	329	188
572	329	188
573	330	187
574	330	187
575	331	186
576	332	186
577	333	185
578	333	184
579	333	184
580	334	183
581	335	183
582	336	182
583	336	182
584	337	181
585	337	180
586	338	180
587	339	179
588	339	179
589	339	178
590	340	177
591	340	177
592	341	176
593	341	175
594	342	175
595	342	174
596	343	174
597	343	173
598	344	172
599	344	172
600	344	171
601	345	171
602	345	170
603	346	169
604	347	169
605	347	168
606	347	167
607	348	167
608	348	166
609	349	166
610	349	165
611	350	164
612	350	164
613	350	163
614	351	162
615	351	162
616	352	161
617	352	160
618	354	160
619	355	160
620	356	160
621	358	160
622	359	159
623	360	159
624	361	158
625	361	158
626	363	158
627	367	158
628	367	158
629	368	157
630	369	157
631	369	156
632	370	156
633	370	155
634	371	154
635	371	154
636	372	153
637	372	153
638	373	152
639	373	151
640	374	151
641	374	150
642	374	149
643	375	149
644	375	148
645	376	147
646	376	147
647	377	146
648	377	146
649	378	145
650	378	144
651	378	144
652	379	143
653	379	142
654	380	142
655	381	141
656	381	141
657	382	140
658	383	140
659	383	139
660	384	138
661	384	138
662	385	137
663	385	137
664	386	136
665	386	135
666	387	135
667	387	134
668	388	133
669	388	133
670	388	132
671	389	132
672	389	131
673	390	130
674	390	130
675	391	129
676	391	129
677	392	128
678	393	127
679	393	127
680	393	126
681	394	126
682	394	125
683	395	124
684	396	124
685	396	123
686	397	123
687	398	122
688	398	122
689	399	121
690	400	121
691	401	120
692	401	120
693	402	119
694	403	118
695	403	118
696	404	117
697	404	117
698	405	116
699	405	115
700	406	115
701	406	114
702	407	114
703	409	114
704	410	113
705	411	113
706	412	112
707	413	112
708	414	111
709	415	111
710	415	110
711	416	109
712	416	109
713	417	108
714	418	108
715	419	107
716	419	107
717	420	106
718	421	106
719	421	105
720	422	104
721	426	105
722	427	104
723	428	104
724	430	103
725	431	103
726	432	102
727	432	102
728	435	102
729	436	101
730	437	101
731	440	101
732	440	100
733	441	99
734	445	99
735	447	99
736	447	99
737	448	98
738	448	97
739	464	100
740	465	99
741	466	99
742	467	98
743	468	98
744	468	97
745	474	97
746	475	97
747	476	96
748	494	99
749	495	99
750	496	98
751	497	97
752	498	97
753	499	96
754	499	95
755	500	95
756	500	94
757	502	94
758	503	93
759	504	92
760	505	92
761	507	91
762	508	91
763	509	90
764	511	90
765	513	89
766	513	89
767	514	88
768	514	87
769	515	87
770	516	86
771	517	85
772	517	85
773	518	84
774	518	83
775	519	82
776	520	82
777	521	81
778	521	81
779	521	80
780	522	79
781	522	78
782	523	78
783	524	77
784	524	76
785	525	76
786	525	75
787	526	74
788	527	74
789	527	73
790	528	72
791	528	72
792	529	71
793	529	70
794	530	70
795	530	69
796	531	68
797	531	67
798	531	67
799	532	66
800	532	65
801	534	65
802	535	64
803	536	64
804	538	63
805	539	62
806	540	62
807	542	61
808	542	61
809	543	60
810	543	59
811	545	59
812	545	58
813	546	57
814	548	57
815	549	56
816	550	55
817	551	55
818	552	54
819	553	54
820	554	53
821	555	52
822	555	51
823	556	51
824	556	50
825	557	49
826	557	49
827	558	48
828	559	47
829	559	47
830	560	46
831	561	45
832	562	45
833	563	44
834	564	43
835	565	43
836	565	42
837	566	41
838	567	41
839	567	40
840	568	39
841	569	39
842	571	38
843	573	38
844	574	37
845	591	37
846	591	37
847	592	36
848	593	35
849	593	34
850	594	34
851	595	33
852	595	32
853	596	32
854	597	31
855	598	30
856	601	30
857	602	29
858	602	28
859	603	28
860	603	27
861	604	26
862	605	25
863	606	25
864	607	24
865	607	23
866	608	23
867	610	22
868	610	21
869	611	21
870	611	20
871	612	19
872	613	18
873	614	18
874	614	17
875	615	16
876	617	16
877	618	15
878	618	14
879	619	14
880	621	13
881	621	12
882	622	11
883	622	11
884	623	10
885	624	9
886	625	9
887	625	8
888	626	7
889	626	7
890	627	6
891	629	5
892	629	4
893	630	4
894	630	3
895	631	2
896	632	2
897	633	1
898	633	0
899	634	0
